Country Name,Country Code,Indicator Name,2019
Aruba,ABW,Life expectancy at birth,76.293
Africa Eastern and Southern,AFE,Life expectancy at birth,64.00519747
Afghanistan,AFG,Life expectancy at birth,64.833
Africa Western and Central,AFW,Life expectancy at birth,58.11572272
Angola,AGO,Life expectancy at birth,61.147
Albania,ALB,Life expectancy at birth,78.573
Andorra,AND,Life expectancy at birth,
Arab World,ARB,Life expectancy at birth,71.98970937
United Arab Emirates,ARE,Life expectancy at birth,77.972
Argentina,ARG,Life expectancy at birth,76.667
Armenia,ARM,Life expectancy at birth,75.087
American Samoa,ASM,Life expectancy at birth,
Antigua and Barbuda,ATG,Life expectancy at birth,77.016
Australia,AUS,Life expectancy at birth,82.9
Austria,AUT,Life expectancy at birth,81.79268293
Azerbaijan,AZE,Life expectancy at birth,73.005
Burundi,BDI,Life expectancy at birth,61.584
Belgium,BEL,Life expectancy at birth,81.74634146
Benin,BEN,Life expectancy at birth,61.771
Burkina Faso,BFA,Life expectancy at birth,61.577
Bangladesh,BGD,Life expectancy at birth,72.591
Bulgaria,BGR,Life expectancy at birth,74.91463415
Bahrain,BHR,Life expectancy at birth,77.292
"Bahamas, The",BHS,Life expectancy at birth,73.918
Bosnia and Herzegovina,BIH,Life expectancy at birth,77.401
Belarus,BLR,Life expectancy at birth,74.22682927
Belize,BLZ,Life expectancy at birth,74.623
Bermuda,BMU,Life expectancy at birth,81.86658537
Bolivia,BOL,Life expectancy at birth,71.513
Brazil,BRA,Life expectancy at birth,75.881
Barbados,BRB,Life expectancy at birth,79.19
Brunei Darussalam,BRN,Life expectancy at birth,75.86
Bhutan,BTN,Life expectancy at birth,71.777
Botswana,BWA,Life expectancy at birth,69.592
Central African Republic,CAF,Life expectancy at birth,53.283
Canada,CAN,Life expectancy at birth,82.04878049
Central Europe and the Baltics,CEB,Life expectancy at birth,77.14410292
Switzerland,CHE,Life expectancy at birth,83.70487805
Channel Islands,CHI,Life expectancy at birth,83.086
Chile,CHL,Life expectancy at birth,80.181
China,CHN,Life expectancy at birth,76.912
Cote d'Ivoire,CIV,Life expectancy at birth,57.783
Cameroon,CMR,Life expectancy at birth,59.292
"Congo, Dem. Rep.",COD,Life expectancy at birth,60.681
"Congo, Rep.",COG,Life expectancy at birth,64.57
Colombia,COL,Life expectancy at birth,77.287
Comoros,COM,Life expectancy at birth,64.321
Cabo Verde,CPV,Life expectancy at birth,72.981
Costa Rica,CRI,Life expectancy at birth,80.279
Caribbean small states,CSS,Life expectancy at birth,73.75473231
Cuba,CUB,Life expectancy at birth,78.802
Curacao,CUW,Life expectancy at birth,
Cayman Islands,CYM,Life expectancy at birth,
Cyprus,CYP,Life expectancy at birth,80.982
Czech Republic,CZE,Life expectancy at birth,79.12926829
Germany,DEU,Life expectancy at birth,80.94146341
Djibouti,DJI,Life expectancy at birth,67.112
Dominica,DMA,Life expectancy at birth,
Denmark,DNK,Life expectancy at birth,81.20243902
Dominican Republic,DOM,Life expectancy at birth,74.081
Algeria,DZA,Life expectancy at birth,76.88
East Asia & Pacific (excluding high income),EAP,Life expectancy at birth,75.40250587
Early-demographic dividend,EAR,Life expectancy at birth,70.70120132
East Asia & Pacific,EAS,Life expectancy at birth,76.26243391
Europe & Central Asia (excluding high income),ECA,Life expectancy at birth,73.93540012
Europe & Central Asia,ECS,Life expectancy at birth,78.03128034
Ecuador,ECU,Life expectancy at birth,77.01
"Egypt, Arab Rep.",EGY,Life expectancy at birth,71.99
Euro area,EMU,Life expectancy at birth,82.03854822
Eritrea,ERI,Life expectancy at birth,66.321
Spain,ESP,Life expectancy at birth,83.48536585
Estonia,EST,Life expectancy at birth,78.49756098
Ethiopia,ETH,Life expectancy at birth,66.597
European Union,EUU,Life expectancy at birth,81.06384682
Fragile and conflict affected situations,FCS,Life expectancy at birth,62.48008834
Finland,FIN,Life expectancy at birth,81.78536585
Fiji,FJI,Life expectancy at birth,67.444
France,FRA,Life expectancy at birth,82.57804878
